,year,state,race,gender,total,party
0,1976,Alabama,White,Male,1347662.0,democrat
1,1976,Alabama,White,Female,1420902.0,democrat
2,1976,Alabama,Black,Male,445145.0,democrat
3,1976,Alabama,Black,Female,510487.0,democrat
4,1976,Alabama,Other,Male,5927.0,democrat
5,1976,Alabama,Other,Female,6915.0,democrat
6,1976,Alaska,White,Male,165964.0,republican
7,1976,Alaska,White,Female,144438.0,republican
8,1976,Alaska,Black,Male,7413.0,republican
9,1976,Alaska,Black,Female,5757.0,republican
10,1976,Alaska,Other,Male,35134.0,republican
11,1976,Alaska,Other,Female,34292.0,republican
12,1976,Arizona,White,Male,1051986.0,republican
13,1976,Arizona,White,Female,1080988.0,republican
14,1976,Arizona,Black,Male,34327.0,republican
15,1976,Arizona,Black,Female,32258.0,republican
16,1976,Arizona,Other,Male,72216.0,republican
17,1976,Arizona,Other,Female,76195.0,republican
18,1976,Arkansas,White,Male,875080.0,democrat
19,1976,Arkansas,White,Female,918985.0,democrat
20,1976,Arkansas,Black,Male,170722.0,democrat
21,1976,Arkansas,Black,Female,192443.0,democrat
22,1976,Arkansas,Other,Male,5364.0,democrat
23,1976,Arkansas,Other,Female,6062.0,democrat
24,1976,California,White,Male,9429848.0,republican
25,1976,California,White,Female,9701334.0,republican
26,1976,California,Black,Male,808672.0,republican
27,1976,California,Black,Female,845847.0,republican
28,1976,California,Other,Male,570557.0,republican
29,1976,California,Other,Female,578346.0,republican
30,1976,Colorado,White,Male,1243089.0,republican
31,1976,Colorado,White,Female,1260175.0,republican
32,1976,Colorado,Black,Male,45758.0,republican
33,1976,Colorado,Black,Female,42187.0,republican
34,1976,Colorado,Other,Male,20074.0,republican
35,1976,Colorado,Other,Female,21087.0,republican
36,1976,Connecticut,White,Male,1387002.0,republican
37,1976,Connecticut,White,Female,1475934.0,republican
38,1976,Connecticut,Black,Male,95999.0,republican
39,1976,Connecticut,Black,Female,107559.0,republican
40,1976,Connecticut,Other,Male,9623.0,republican
41,1976,Connecticut,Other,Female,9882.0,republican
42,1976,Delaware,White,Male,242195.0,democrat
43,1976,Delaware,White,Female,255167.0,democrat
44,1976,Delaware,Black,Male,43166.0,democrat
45,1976,Delaware,Black,Female,47729.0,democrat
46,1976,Delaware,Other,Male,2149.0,democrat
47,1976,Delaware,Other,Female,2347.0,democrat
48,1976,Florida,White,Male,3575329.0,democrat
49,1976,Florida,White,Female,3837269.0,democrat
50,1976,Florida,Black,Male,585558.0,democrat
51,1976,Florida,Black,Female,641761.0,democrat
52,1976,Florida,Other,Male,26139.0,democrat
53,1976,Florida,Other,Female,29142.0,democrat
54,1976,Georgia,White,Male,1845815.0,democrat
55,1976,Georgia,White,Female,1920831.0,democrat
56,1976,Georgia,Black,Male,626183.0,democrat
57,1976,Georgia,Black,Female,710366.0,democrat
58,1976,Georgia,Other,Male,10610.0,democrat
59,1976,Georgia,Other,Female,11929.0,democrat
60,1976,Hawaii,White,Male,181820.0,democrat
61,1976,Hawaii,White,Female,156072.0,democrat
62,1976,Hawaii,Black,Male,9344.0,democrat
63,1976,Hawaii,Black,Female,4541.0,democrat
64,1976,Hawaii,Other,Male,274360.0,democrat
65,1976,Hawaii,Other,Female,275924.0,democrat
66,1976,Idaho,White,Male,419900.0,republican
67,1976,Idaho,White,Female,420380.0,republican
68,1976,Idaho,Black,Male,1571.0,republican
69,1976,Idaho,Black,Female,985.0,republican
70,1976,Idaho,Other,Male,7110.0,republican
71,1976,Idaho,Other,Female,7130.0,republican
72,1976,Illinois,White,Male,4701947.0,republican
73,1976,Illinois,White,Female,4942778.0,republican
74,1976,Illinois,Black,Male,740717.0,republican
75,1976,Illinois,Black,Female,837862.0,republican
76,1976,Illinois,Other,Male,67198.0,republican
77,1976,Illinois,Other,Female,69829.0,republican
78,1976,Indiana,White,Male,2417722.0,republican
79,1976,Indiana,White,Female,2540023.0,republican
80,1976,Indiana,Black,Male,186118.0,republican
